xp yp zp xpRot ypRot xn yn zn xnRot ynRot
14.378722669288017 -31.088799656815212 -0.8314466057296385 19.065056476163573 -28.456717155402593 29.51521462289288 -4.892009469030929 -0.5795350533775079 29.917112237454013 -0.21458390456301135
19.538004605516072 -29.54031289884624 -2.4854591516018765 18.597157437914056 -30.14149043024161 29.876790654892623 0.8647942925075462 -0.7062677168069534 29.88920375863766 -0.07738009610517005
24.26875761818602 -27.34021798256024 -4.0853493645475725 17.713153104169436 -31.9797486352289 29.138665226625736 6.589698816933529 -0.8070027611988572 29.874425795471733 0.06800792686282708
28.520133418032177 -24.59744362514188 -5.604821292994257 16.39444882269116 -33.90655232952105 27.326698831718275 12.071735483943357 -0.8779971129982747 29.873541700049454 0.21627049992160252
32.262990094410696 -21.414146826024123 -7.024565156687562 14.63174841788767 -35.85217081787661 24.50783391882799 17.109003088150402 -0.9166408821186584 29.886802088271292 0.3618991568080663
35.484421760397794 -17.883284021487857 -8.330937831242203 12.425081478307389 -37.743521103898324 20.787325217128316 21.516927998874507 -0.9215634247059333 29.913904146272763 0.4994185809657452
38.18322647430144 -14.087885501150822 -9.514732437634214 9.78421196577077 -39.50565147026686 16.30422197243986 25.13567307513845 -0.8926816152853938 29.953978125656384 0.6236261015460673
40.366375685092486 -10.101331260923063 -10.570130138006263 6.729191651671108 -41.063355426803675 11.22538664852484 27.83630141575943 -0.8311887837924864 30.00560514022261 0.7298233258375308
42.04637572474285 -5.988147008979788 -11.493853869122226 3.290857776366977 -42.342955391459434 5.738426807258237 29.525406291803563 -0.7394870617508849 30.06686752591309 0.814024629557605
43.239355294265756 -1.8050187470498507 -12.28450825557162 -0.48888239192426153 -43.2742525406022 0.04396682525092095 30.148043937349936 -0.6210696104115734 30.135429846298642 0.8731290333724087
43.96371391290484 2.398148828867217 -12.942076717513245 -4.557096232474469 -43.79260363062588 -5.652308452843994 29.688933689153952 -0.48036195785844554 30.208645577875146 0.905045189698586
